index,product,category,sub_category,brand,sale_price,market_price,type,rating,description
612,Make Up Remover+Brightening Nigt Cream,Beauty & Hygiene,Skin Care,Kaya Clinic,869.0,1230.0,Face Care,,"Hydra Cleanse Makeup Remover is a non-sticky yet moisturizing make-up remover. Specially formulated to remove regular, water-proof and long-lasting make-up without the use of water. End your day with clean, beautiful and healthy looking skin. This 3-in-1 alcohol-free formula is gentle on the skin, lips, and eyes. It retains the natural pH of the skin. Formula researched and developed by dermatologists.Brightening Night Cream is specially formulated to work at night to give you a notably lighter complexion. Potent whitening active azeloyl glycine works to give you lighter and brighter skin. Extracts of imperator cylindrical help restore radicals resulting in visibly soft, fresh and luminous skin. Formula researched and developed by dermatologists."
730,Bio Papaya Scrub Wash,Beauty & Hygiene,Skin Care,BIOTIQUE,202.5,270.0,Face Care,4.1,"This fresh foaming gel is blended with pure papaya fruit to dissolve dead surface cells, unclog pore openings and smooth the way for clear skin to surface. Gentle refining action uncovers skin's natural brightness for a younger-looking complexion."
734,Eyeconic Kajal,Beauty & Hygiene,Makeup,Lakme,206.25,275.0,Eyes,3.9,"Accentuate the beauty of your eyes with the Lakme Eyeconic Kajal. This dermatologically tested kajal is just what you need for completing your eye makeup or carrying a simple, only-kajal look. It is a smudge proof, waterproof kajal, and can add the dramatic and glamorous look to your eyes. It has an intense matte texture for Eyeconic eyes. You can experiment with a thin line or a bold wing. This kajal is great for day and night looks. It is long lasting, up to 22 hours without smudging and is completely waterproof. It is designed with an easy to use and convenient twist-up format. Just one stroke of the Lakme Eyeconic Kajal enhances your simple look to a more stylish avatar. Its beat all your timelines, be it meetings, traveling or just a day out and lasts for 22 hours. You are incomplete without kajal and this is a perfect everyday product! Get the Lakme Eyeconic Kajal in black now. The black Eyeconic goes best with your Eyeconic mascara to enhance your eyes further. You can also use from our 4 eye quartet pallets to enhance your eye for wedding, party and work look."
758,Taft Ultimate Hair Lacquer Ultimately Strong 6,Beauty & Hygiene,Hair Care,Schwarzkopf,395.0,395.0,Hair & Scalp Treatment,3.7,Taft hairspray Ultimate-6 offers the highest Taft fixation thanks to two combined polymers and also gives the hair a beautiful shine. This spray is great for all hair types and helps you get your desired hairstyle in a go. The strong hold feature of this hair styling lacquer will hold your desired hairstyle strong so that your hair does not need a touch-up or styling for every minute.
834,Purifying Neem Facial Wipes,Beauty & Hygiene,Skin Care,Himalaya,150.0,200.0,Face Care,4.3,"Himalaya's Purifying Neem Facial Wipes are soft and non-alcoholic with a gentle formulation that mildly cleanses the skin to keep it clean and healthy. Himalaya's Purifying Neem Facial Wipes are soft and non-alcoholic with a gentle formulation that mildly cleanses the skin to keep it clean and healthy. Enriched with the power of Neem and Turmeric that are known for antibacterial properties, the wipes freshen skin and also help conveniently remove make-up."
880,Bio Green - Apple Fresh Daily Purifying Shampoo & Conditioner,Beauty & Hygiene,Hair Care,BIOTIQUE,74.25,99.0,Shampoo & Conditioner,4.3,Rejuvenate your oil hair or scalp in minutes with these nourishing daily shampoo and conditioner. Its special pH balanced formula is uber gentle on the hair and makes it shine.
908,Face Wash - Blush & Glow Strawberry Gel,Beauty & Hygiene,Skin Care,Lakme,153.75,205.0,Face Care,4.3,"Use the Lakme Blush and Glow  Gel Face Wash to give your skin a gorgeous kissed glow, every day. Formulated by Lakme Salon experts & enriched with the goodness of rich Strawberry extracts. The face wash has fruit anti-oxidants and beads that cleanse your skin washing away dirt and other impurities. For the best results. Follow this simple Blush & Glow regime every day for a fruit-kissed glow every day. The beautiful texture & fragrance will make you fall in love instantly.Tip: Following a regular skin care regime can help you achieve flawless skin. For more tips on skin care, visit bigbasket lifestyle blog, Click Here to visit bigbasket’s lifestyle blog"
935,6 Oil Nourish Conditioner,Beauty & Hygiene,Hair Care,Loreal Paris,159.0,199.0,Shampoo & Conditioner,4.3,"Does your hair get frizzy and unmanageable? Are you left wishing for a remedy to fix your frizzy tassels? Do you want to know the secret to fixing frizzy hair? Try New Dove Intense Repair Conditioner. Control frizz with a nourishing conditioner that’s formulated to nourish and help with frizz prevention. Formulated with Keratin Actives, Dove Intense Repair Conditioner helps to nourish dry and frizzy hair with two-way care. It controls external signs of dryness in the form of frizz while nourishing strands to help them look their best. This conditioner for frizzy, damaged hair Leaves hair visibly smooth and more manageable – giving you smoother hair* that you will be proud of. Use it after your shampoo on damp hair for best results. This nourishing conditioner works immediately to smoothen the hair surface, deeply nourishing to moisturize hair strands for healthier looking and smoother hair use Dove repair conditioner. With every use, you’ll be left with shiny and beautiful hair. Buy New Dove Intense Repair conditioner and treat your hair to a look that will be the cause of envy among all your friends. Dove Conditioners, for 100% care. *Based on lab test with Dove Intense Repair system vs non-conditioning shampoo"
984,Men Expert White Activ Intensive Whitening Foam,Beauty & Hygiene,Men's Grooming,Loreal Paris,499.0,499.0,Face & Body,3.0,"LOreal Men Expert White Activ intensive whitening foam has a special pro-exfoliating formula which helps men in removing the dead cells from their skins, thus leaving it luminous and bright. It uses effective ingredients that act as good peeling agents. It not only smoothes out irregularities but also helps in stimulating a healthy dead skin-cell removal routine. This face wash not only helps whiten the skin fair but also removes dirt or makeup. It removes all impurities from the skin."
990,Men Expert Hydra Power Duo Foam Cleanser,Beauty & Hygiene,Skin Care,Loreal Paris,367.54,499.0,Face & Body,4.1,"Detoxifying Anti-Roughness, the foam deeply cleanses and purifies the skin, which leaves a comfortable feeling without tightness. French Mountain Water purifies skin and efficiently removes impurities, dirt and pollution. G-Cyclic Resurfacing Complex TM instantly hydrates skin, removes dead skin cells, and smooth skin texture"
1022,Active Clean Shower Gel,Beauty & Hygiene,Men's Grooming,Nivea Men,597.0,597.0,Bath & Shower,,"WITH ACTIVE CHARCOAL FOR DEEP CLEANSING. 3 in 1 for Face, Body & Hair.Dirt, grime and pollution getting you down? Try the NEW NIVEA MEN ACTIVE CLEAN SHOWER GEL WITH ACTIVE CHARCOAL.  For Beauty tips, tricks & more visit https://bigbasket.blog/"
1074,White Perfect - Clinical New Skin Essence Lotion,Beauty & Hygiene,Skin Care,Loreal Paris,995.0,995.0,Face Care,,"L'Oreal Paris White Perfect Clinical New Skin Essence Lotion that is enriched with a dermatological active to enhance radiance, skin tone and skin texture for a healthier & younger look. Inspired by advanced clinical procedures.A powerful concentrated white perfect essence water to activate skin regeneration and enhance skin fairness. Go beyond spotless skin with 3 additional benefits; increased radiance, flawless skin tone & refined skin texture. Glycolic Acid, Hepes & Vitamin CG to smoothen skin texture, stimulate skin renewal & remove spots.Dermatologically tested. Suited for oily, dry & all skin types."
1132,Brightening Night Cream,Beauty & Hygiene,Skin Care,Kaya Clinic,617.0,950.0,Face Care,3.4,"Brightening night cream is specially formulated to work at night to give you a notably lighter complexion. Potent whitening active azeloyl glycine works to give you lighter and brighter skin. Extracts of imperator cylindrical helps restore radicals resulting in visibly soft, fresh and luminous skin. Formula researched and developed by dermatologists."
1143,"Syoss - Renew 7 Complete Repair, 02 Conditioner",Beauty & Hygiene,Hair Care,Schwarzkopf,425.0,425.0,Shampoo & Conditioner,,"The new SYOSS Renew 7 Complete Repair, developed with and tested by hairdressers, restores the hair fibers in 3 dimensions and intensively strengthens and improves the structure of each hair from roots to tips. For salon-beautiful hair like directly after the hairdresser €“ every day."
1202,Revitalift Moisturizing Day Cream SPF 23 PA++,Beauty & Hygiene,Skin Care,Loreal Paris,622.39,845.0,Face Care,4.8,"L'Oreal Paris Revitalift Moisturizing Day Cream is enriched with anti-ageing elements that reduce fine lines & wrinkles, boost skin firmness, youthfulness, radiance and provides sunscreen/UV protection. A powerful anti-ageing day cream created by L'Oreal Skincare Laboratories for triple action that gives transformed skin. Instantly boosts the skin texture on 8 key zones for a smoother, fairer and younger-looking look. Dermalift Technology, Pro-Retinol A & Centella Asiatica to re-firm, restore and re-plump the skin. Use daily with Revitalift Essence, Night Cream & Eye Cream for a complete anti-ageing solution."
1215,Nourishing Face Moisturizing Lotion,Beauty & Hygiene,Skin Care,Himalaya,63.0,85.0,Body Care,4.3,"Himalaya's Nourishing Face Moisturizing Lotion helps you recover lost natural moisture and nutrients due to the skin's frequent exposure to environmental extremes, pollution and chemicals. Himalaya's Nourishing Face Moisturizing Lotion helps you recover lost natural moisture and nutrients due to the skin's frequent exposure to environmental extremes, pollution and chemicals. It combines natural ingredients that restore your skin's vitality throughout the day. It is enriched with Aloe Vera, a natural moisturizer, rich in polysaccharides and enzymes, and White Lily that lighten your skin.The oils of Almond and Carrot Seed combine to protect your skin from the damage caused by exposure to pollution and sunlight. Nourishing Face Moisturizing Lotion is a perfect base for make-up."
1280,"Anti Dandruff Conditioner - With Tea Tree & Ginger Oil, For Dandruff Free Hair",Beauty & Hygiene,Hair Care,Mamaearth,349.0,349.0,Shampoo & Conditioner,4.5,"Stimulate and renew your hair with an outlandish mix of Tea Tree and Ginger Oil that helps in reducing itch & irritation while contributing to the shine and smoothness of the hair and soothing dryness and itchiness. Mamaearth Tea Tree Conditioner is made using natural ingredients and makes sure that dandruff and excess oil are gently worked on & removed. Coconut oil present in the conditioner works like magic on dry and brittle scalp, making hair soft and smooth. Almond Oil nourishes and moisturises hair while adding shine. Ginger Oil contributes to the health of the hair and soothes dryness. Safe for coloured and chemically treated hair, this conditioner is free of harmful chemicals and toxins such as Silicones, Parabens, Mineral Oil, & Dyes."
1330,Skin Natural Serum sheetmask (Light complete +2 Charcoal),Beauty & Hygiene,Skin Care,Garnier,211.61,297.0,Face Care,,"Garnier introduces a new generation of face masks for women that infuses skin with 1 week of serum with 1 mask. Use Garnier Light Complete Sheet Mask if you have dull, dehydrated skin with spots. It is enriched with Lemon and Vitamin C and will instantly hydrate and brighten your skin in just 15 mins. It will also help in reducing spots, The tissue mask has been dermatologically tested. How to use – Unfold the mask. Apply on clean face with blue protective film facing outwards. Remove the blue film. Adjust the mask to the contours of your face. Leave it on for 15mins. Remove mask and gently massage your face with the excess serum. • Garnier tissue face masks provide your skin with deep hydration • Garnier Light Complete Sheet Mask is enriched with Lemon and Vitamin C • Perfect for dehydrated and dull skin with spots • Instantly hydrates and brightens skin in just 15 minutes • 1 mask gives you one week of serum • Suitable for all skin types, including sensitive skinGarnier introduces a new generation of face masks for women that infuses skin with 1 week of serum with 1 mask. Garnier Black Serum Mask is a breakthrough black tissue mask technology that offers double purifying and hydrating efficacy. Use Garnier Black Serum Mask if you have dull skin with clogged and enlarged pores. It is enriched with Charcoal, known for its ability to remove impurities. It is also enriched with pore-tightening Black Algae Extracts. The serum mask will intensely hydrate and purify your skin while also tightening its pores. The sheet mask has been dermatologically tested."
1410,"Taft Looks - Wet Power Gel, Extra Hold 3",Beauty & Hygiene,Men's Grooming,Schwarzkopf,425.0,425.0,Hair Care & Styling,4.0,"Schwarzkopf Taft All Weather Looks Wet Gel Extra Hold provides the long-lasting extra strong hold for wet look styles, without stickiness, without residues and easy to wash out."
1467,Natural Mosquito Repellent Patches,Cleaning & Household,Fresheners & Repellents,Mamaearth,199.0,199.0,Mosquito Repellent,3.7,"Hi! I am Mamaearths 100% natural mosquito repellent patch for babies. I am DEET free with NO harmful chemicals, insecticides or pesticides. I do not cause any side effects like eye irritation or skin damage as I am a 100% natural blend of Citronella, Eucalyptus, Peppermint Oil & Lemon extract. My powerful mosquito repellent blend protects your loved ones from Dengue, Malaria & Chikungunya. I can be pasted on your childs clothes, cot, pram and schoolbag. I offer up to 12 hours of protection from mosquito bites. I am waterproof and can be used for both indoor and outdoor activities. I do not leave any residue on clothes after removal."
1583,Deep Cleansing Apricot Face Wash,Beauty & Hygiene,Skin Care,Himalaya,61.6,70.0,Face Care,4.3,"Himalaya Deep Cleansing Apricot Face Wash gently removes dead skin cells and unclogs pores to reveal softer and smoother skin. It eliminates blackheads and prevents acne from recurring. Enriched with the goodness of Red Lentil, Apricot granules, Lemon and Honey, the Deep Cleansing Apricot Face Wash leaves your skin deeply cleansed and moisturised. Red Lentil is enriched with proteins, improves the complexion and gives your skin an all-natural glow. Apricot granules gently exfoliate dead skin cells, bringing out your skin natural glow. Neem is an excellent skincare ingredient known for its antibacterial properties. It improves general skin health and immunity, combating bacterial infections such as acne, boils, and ulcers. Aloe Vera, known for its many healing properties, is rich in enzymes, polysaccharides, and nutrients which exhibit antibacterial and anti-fungal action. Aloe Vera helps your skin retain its natural moisture."
1773,Skin Naturals - Light Complete Night Cream,Beauty & Hygiene,Skin Care,Garnier,129.5,185.0,Face Care,4.4,"Garnier Light Complete Night Cream nourishes your skin while you sleep. This women's cream is enriched with Vitamin C, Lemon Essence & Yoghurt Bifidus and works as a brightening yoghurt treatment. Its ultra-light texture absorbs quickly into the skin. It reduces dullness, exfoliates dead cells and lightens spots & skin tone. Wake up to renewed, fresh and brighter skin from the 1st night itself! For fast results, switch to Garnier Light Complete skincare. The cream has been dermatologically tested.Garnier Light Complete Night Cream nourishes skin while you sleep. Gives brightening action from the 1st night. Exfoliates dead cells and lightens spots. Enriched with Vitamin C, Lemon Essence & Yoghurt Bifidus."
1785,Revitalift Laser X3 Day Cream,Beauty & Hygiene,Skin Care,Loreal Paris,1400.0,1400.0,Face Care,4.6,"L'Oreal Paris Revitalift Laser X3 Anti-Ageing Day Cream visibly reduces wrinkles, re-firms and refines texture for younger-looking radiant skin. Inspired by dermatological procedures to give younger-looking skin.1st anti-ageing, skin-renewing cream and face moisturizer, created by L'Oreal Skincare Laboratories. Reduces wrinkles, pores & fine lines to immediately moisturize and smoothen the skin. 3 % Pro-Xylane + Adenosine for increased hydration & skin elasticity.Dermatologically tested. Suited for oily, dry & all skin types."
1799,Shower Gel - Lemongrass & Jojoba,Beauty & Hygiene,Bath & Hand Wash,Fiama,179.1,199.0,Shower Gel & Body Wash,4.3,"Lemongrass and Jojoba Shower Gel wakes you up and pulls you out of a dull day with its zingy citrus fragrance. It is filled with natural goodness, which gently exfoliates your skin and makes it smooth. So get ready for a smooth start to your day with Fiama."
1832,Body Mist For Babies - Tropical Garden,Baby Care,Baby Bath & Hygiene,Mamaearth,598.0,598.0,Baby Bath,2.8,"An instant splash of freshness for your little one’s face & body. Mamaearth’s joyful Tropical Garden Body Mist for babies gives floral & fruity fragrance of tropical flowers, masks the odour of milk, drool, sweat & food, giving your baby a fresh feeling. This product is alcohol free and certified allergen free."
1837,Dinsey Baby - Bio Green Apple Mickey Tearproof Shampoo,Beauty & Hygiene,Hair Care,BIOTIQUE,131.25,175.0,Shampoo & Conditioner,4.4,"This gentle, 100% soap free shampoo is a natural blend of pure green apple extract, sea algae and Centella to cleanse delicate hair and scalp, without dryness or irritating babys sensitive eyes. It has a special pH balanced, no-tear formula rinses easily for healthy, shining hair."
1865,Bio Berry Sensitive Mommy & Baby Bubble Bath,Baby Care,Baby Bath & Hygiene,BIOTIQUE,74.25,99.0,Baby Bath,4.8,"This gentle, 100% soap-free, bubbling wash is a natural blend of wild berries, sandalwood oil, honey and aloe vera to make babys and mommys bath time a delightful experience. Light-foaming, it has a pH balanced formula refreshes and nourishes sensitive skin, without dryness or irritation, for a soft and comforting feeling."
1918,Hair Naturals - Soothing Conditioning Gel,Beauty & Hygiene,Hair Care,Kaya Clinic,926.5,1090.0,Shampoo & Conditioner,,"Kaya Hair Naturals Soothing Conditioning Gel This is an intense balancing treatment masque which provides natural hair conditioning and nourishment. It contains a natural complex of Black Pepper & Inga Alba bark extracts which restores natural scalp health. This unique pH balanced formula is free from Sulfates, Silicones & Parabens and is fortified with amino acids and minerals that provide hydration, soothes the scalp leaving it nourished."
1952,"Syoss - Renew 7 Complete Repair, 01 Shampoo",Beauty & Hygiene,Hair Care,Schwarzkopf,425.0,425.0,Shampoo & Conditioner,5.0,"The Syoss Renew 7 Complete Repair with Serin-Protein-Formula, developed with and tested by hairdressers, strengthens and improves the structure of each hair from roots to tips. For salon-beautiful hair like directly after the hairdresser – every day."
1964,Excellence Creme Hair Color,Beauty & Hygiene,Hair Care,Loreal Paris,558.0,620.0,Hair Color,4.4,"L'Oreal Paris Excellence Creme Hair Color is a triple care colour with triple care formula. 100 per cent grey coverage from root to tips. Stronger hair, 85 per cent more resistant to brushing. For a beautifully blended colour that complements your look, without a grey in sight. Rich, even, long-lasting hair colour with a soft and silky touch. Excellence Creme hair color triple protection means three ways to care for your hair: ceramide protects, pro-keratin strengthens and collagen replenishes.In this pack, you will find the protective serum, colouring creme and developer and conditioner."
1969,Revitalift Intensive Repairing Essence,Beauty & Hygiene,Skin Care,Loreal Paris,925.0,925.0,Face Care,,"Nourish, revitalise and give your skin a lift with an intensive repairing night serum by L'Oreal Paris. With time, age leaves traces on the skin: wrinkles appear, skin loses its firmness. These ageing signs are harder to repair. A new anti-ageing approach inspired by healing knowledge: Because the healing process involves skin regeneration. It is a great source of inspiration to fight against ageing signs.L'Oreal laboratories selected Centella Asiatica, known for its repairing properties, for new anti-ageing care.Thin and fluid texture smoothly glides and immediately penetrates into the skin, leaving skin silky soft without a sticky film. Fight signs of ageing on 8 key zones of your face."
1993,Damage Repair Protein Shampoo,Beauty & Hygiene,Hair Care,Himalaya,72.75,75.0,Shampoo & Conditioner,3.9,"Himalaya Damage Repair Protein Shampoo is specially formulated for dry, frizzy and damaged hair caused by blow-drying and chemicals. The unique blend of herbs including Chickpea and Beach Almond provides nourishment and intensive conditioning from the root to the tip by repairing and strengthening the hair. This shampoo also helps protect hair from future damage. Beach Almond fruit extract is rich with tannins which are reported to possess antimicrobial and antioxidant properties. The fruit of Beach Almond intensely conditions hair and helps prevent hair damage. The chickpea seed extract is a rich source of protein. It is an effective hair conditioner which provides daily nourishment to the hair, keeping it soft, smooth and healthy."
2040,Total Care Baby Pants Diapers - S,Baby Care,Diapers & Wipes,Himalaya,1000.0,1000.0,Diapers,5.0,Powered by natural anti-rash shield: Indian Aloe and Yashad Bhasma (Zinc Oxide) (that prevent the risk of diaper rash) Soft easy-to-fit design offer care and comfort to your baby. silky soft inner layer for soft & sensitive skin Breathable fabric ensures proper air circulation and leakproof soft elastic edges prevent leakage. Superabsorbent polymer (SAP) layer: Rapidly absorbs multiple wettings and provides maximum protection from dampness. Wetness indicator: Turns green to show when the baby wets the diaper. Keeps skin dry so that baby gets an undisturbed and restful sleep.
2083,Absolute Under Cover Gel Face Primer,Beauty & Hygiene,Makeup,Lakme,562.5,750.0,Eyes,4.1,"Lakmé Absolute Undercover Gel Primer •Lakmé Absolute presents the all-new Undercover Gel Primer - your go-to product to create the perfect canvas for makeup application. This transparent gel based primer has a gel texture that gives you an even looking skin and smooth finish. It blends seamlessly for a more vibrant, colour true finish. It hides skin imperfections and gives an even skin tone. Enriched with Vitamin E, it nourishes skin. Locks in makeup for a longer period of time. It is tinted with Gel texture, has moisturizing benefits that can help easy makeup application on dry skin. Key Features : -Transparent and smooth gel primer -Enriched with Vitamin E that nourishes skin -Locks in makeup for a long period of time -Makes skin even and creates the perfect base About Lakmé : Lakmé is India’s No. 1 colour cosmetics brand offering a wide range of high-end, world-class makeup and skincare products. Lakmé has a vast product range specially crafted by experts for Indian skin. The brand has also been redefining fashion in India for over 16 years with Lakmé Fashion Week, India’s premier fashion event. Buy your Lakme Absolute Undercover Gel Primer now !!!"
2148,Fructis Shampoo - Long & Strong Strengthening,Beauty & Hygiene,Hair Care,Garnier,55.0,55.0,Shampoo & Conditioner,3.9,"Nourish your dry and damaged hair with Garnier Fructis Triple Nutrition Shampoo. It is enriched with the goodness of three nourishing oils of olive, coconut and almond. The Vitamin E from these oils help moisturise the scalp and get rid of the dryness. It helps to repair damaged hair. It results in silky smooth hair. It makes the scalp healthy and prevents from hair breakage. The natural oils help to maintain the natural moisture in the scalp and retain it. Ideal for people with dry, over dried and damaged hair.  For Beauty tips, tricks & more visit https://bigbasket.blog/"
